country,first_name,last_name,date_of_birth,sales_team
UK,Freddie,Mercury,1975-05-12,LCS_UK_FINANCE
UK,David,Bowie,1970-03-25,LCS_UK_FINANCE
UK,Adele,McCartney,1985-09-21,LCS_UK_FINANCE
UK,Elton,Lennon,1972-11-05,LCS_UK_FINANCE
UK,Amy,Winehouse,1980-08-14,LCS_UK_FINANCE
UK,Mick,Jagger,1978-07-02,LCS_UK_FINANCE
UK,Ed,Hendrix,1988-12-17,LCS_UK_FINANCE
UK,George,Harrison,1973-06-08,LCS_UK_FINANCE
UK,Lily,Lennon,1987-04-30,LCS_UK_FINANCE
UK,Paul,McCartney,1982-10-11,LCS_UK_FINANCE
UK,John,Lennon,1981-11-25,LCS_UK_FINANCE
UK,Robert,Plant,1977-03-20,LCS_UK_FINANCE
UK,Roger,Waters,1979-12-04,LCS_UK_FINANCE
UK,Jimmy,Page,1974-01-18,LCS_UK_FINANCE
UK,Phil,Collins,1985-06-30,LCS_UK_FINANCE
UK,Steve,Winwood,1988-09-22,LCS_UK_FINANCE
UK,Brian,May,1983-08-12,LCS_UK_FINANCE
UK,Ray,Davies,1976-07-05,LCS_UK_FINANCE
UK,Mick,Fleetwood,1979-10-11,LCS_UK_FINANCE
UK,Rod,Stewart,1982-04-29,LCS_UK_FINANCE
UK,Keith,Richards,1976-02-28,LCS_UK_FINANCE
UK,Pete,Townshend,1987-05-14,LCS_UK_FINANCE
UK,Dave,Gilmour,1984-03-08,LCS_UK_FINANCE
DACH,Wolfgang,Beethoven,1982-11-15,SMB_DACH_AUTO
DACH,Ludwig,Mozart,1985-09-08,SMB_DACH_AUTO
DACH,Johann,Wagner,1976-04-22,SMB_DACH_AUTO
DACH,Franz,Schubert,1979-07-17,SMB_DACH_AUTO
DACH,Richard,Bach,1989-03-02,SMB_DACH_AUTO
DACH,Clara,Strauss,1983-08-10,SMB_DACH_AUTO
DACH,Johannes,Brahms,1977-12-05,SMB_DACH_AUTO
DACH,Gustav,Haydn,1987-01-19,SMB_DACH_AUTO
DACH,Anton,Mahler,1981-06-27,SMB_DACH_AUTO
DACH,Felix,Schumann,1986-10-31,SMB_DACH_AUTO
DACH,Hans,Zimmer,1973-12-12,SMB_DACH_AUTO
DACH,Ennio,Morricone,1976-05-10,SMB_DACH_AUTO
DACH,Herbert,Grönemeyer,1988-02-07,SMB_DACH_AUTO
DACH,Max,Reger,1984-07-24,SMB_DACH_AUTO
DACH,Kurt,Weill,1978-06-15,SMB_DACH_AUTO
DACH,Paul,Lincke,1989-09-03,SMB_DACH_AUTO
DACH,Reinhard,Mey,1977-04-21,SMB_DACH_AUTO
DACH,Georg,Katzer,1985-11-11,SMB_DACH_AUTO
DACH,Karlheinz,Stockhausen,1982-10-01,SMB_DACH_AUTO
DACH,Friedrich,Gulda,1987-08-09,SMB_DACH_AUTO
DACH,Franz,Xaver,1984-09-02,SMB_DACH_AUTO
DACH,Gustav,Bruder,1981-06-04,SMB_DACH_AUTO
DACH,Wolfgang,Frey,1986-04-28,SMB_DACH_AUTO
DACH,Richard,Schmitt,1983-01-13,SMB_DACH_AUTO
MENA,Ali,Ibn Farid,1986-07-24,MENA_ECOM
MENA,Omar,Al-Khayyam,1974-02-11,MENA_ECOM
MENA,Leila,Al-Andalus,1980-05-03,MENA_ECOM
MENA,Hassan,Al-Ghazali,1983-10-17,MENA_ECOM
MENA,Fatimah,Ibn Sina,1987-09-29,MENA_ECOM
MENA,Yasmine,Al-Maghribi,1975-12-08,MENA_ECOM
MENA,Ammar,Ibn Rushd,1979-11-02,MENA_ECOM
MENA,Nour,Al-Kindi,1989-04-12,MENA_ECOM
